,team_name,win,side,game_num,0/stats/assists,0/stats/champLevel,0/stats/deaths,0/stats/doubleKills,0/stats/firstBloodAssist,0/stats/firstInhibitorAssist,0/stats/firstTowerAssist,0/stats/goldEarned,0/stats/inhibitorKills,0/stats/item1,0/stats/item2,0/stats/item3,0/stats/item4,0/stats/item5,0/stats/item6,0/stats/kills,0/stats/largestKillingSpree,0/stats/longestTimeSpentLiving,0/stats/magicDamageDealt,0/stats/magicDamageDealtToChampions,0/stats/magicalDamageTaken,0/stats/neutralMinionsKilledEnemyJungle,0/stats/neutralMinionsKilledTeamJungle,0/stats/pentaKills,0/stats/physicalDamageDealt,0/stats/physicalDamageDealtToChampions,0/stats/physicalDamageTaken,0/stats/quadraKills,0/stats/totalDamageDealt,0/stats/totalDamageDealtToChampions,0/stats/totalHeal,0/stats/totalMinionsKilled,0/stats/totalTimeCrowdControlDealt,0/stats/tripleKills,0/stats/trueDamageDealt,0/stats/trueDamageDealtToChampions,0/stats/trueDamageTaken,0/stats/turretKills,0/stats/visionWardsBoughtInGame,0/stats/wardsKilled,0/stats/wardsPlaced,1/stats/assists,1/stats/champLevel,1/stats/deaths,1/stats/doubleKills,1/stats/firstBloodAssist,1/stats/firstInhibitorAssist,1/stats/firstTowerAssist,1/stats/goldEarned,1/stats/inhibitorKills,1/stats/item1,1/stats/item2,1/stats/item3,1/stats/item4,1/stats/item5,1/stats/item6,1/stats/kills,1/stats/largestKillingSpree,1/stats/longestTimeSpentLiving,1/stats/magicDamageDealt,1/stats/magicDamageDealtToChampions,1/stats/magicalDamageTaken,1/stats/neutralMinionsKilledEnemyJungle,1/stats/neutralMinionsKilledTeamJungle,1/stats/pentaKills,1/stats/physicalDamageDealt,1/stats/physicalDamageDealtToChampions,1/stats/physicalDamageTaken,1/stats/quadraKills,1/stats/totalDamageDealt,1/stats/totalDamageDealtToChampions,1/stats/totalHeal,1/stats/totalMinionsKilled,1/stats/totalTimeCrowdControlDealt,1/stats/tripleKills,1/stats/trueDamageDealt,1/stats/trueDamageDealtToChampions,1/stats/trueDamageTaken,1/stats/turretKills,1/stats/visionWardsBoughtInGame,1/stats/wardsKilled,1/stats/wardsPlaced,2/stats/assists,2/stats/champLevel,2/stats/deaths,2/stats/doubleKills,2/stats/firstBloodAssist,2/stats/firstInhibitorAssist,2/stats/firstTowerAssist,2/stats/goldEarned,2/stats/inhibitorKills,2/stats/item1,2/stats/item2,2/stats/item3,2/stats/item4,2/stats/item5,2/stats/item6,2/stats/kills,2/stats/largestKillingSpree,2/stats/longestTimeSpentLiving,2/stats/magicDamageDealt,2/stats/magicDamageDealtToChampions,2/stats/magicalDamageTaken,2/stats/neutralMinionsKilledEnemyJungle,2/stats/neutralMinionsKilledTeamJungle,2/stats/pentaKills,2/stats/physicalDamageDealt,2/stats/physicalDamageDealtToChampions,2/stats/physicalDamageTaken,2/stats/quadraKills,2/stats/totalDamageDealt,2/stats/totalDamageDealtToChampions,2/stats/totalHeal,2/stats/totalMinionsKilled,2/stats/totalTimeCrowdControlDealt,2/stats/tripleKills,2/stats/trueDamageDealt,2/stats/trueDamageDealtToChampions,2/stats/trueDamageTaken,2/stats/turretKills,2/stats/visionWardsBoughtInGame,2/stats/wardsKilled,2/stats/wardsPlaced,3/stats/assists,3/stats/champLevel,3/stats/deaths,3/stats/doubleKills,3/stats/firstBloodAssist,3/stats/firstInhibitorAssist,3/stats/firstTowerAssist,3/stats/goldEarned,3/stats/inhibitorKills,3/stats/item1,3/stats/item2,3/stats/item3,3/stats/item4,3/stats/item5,3/stats/item6,3/stats/kills,3/stats/largestKillingSpree,3/stats/longestTimeSpentLiving,3/stats/magicDamageDealt,3/stats/magicDamageDealtToChampions,3/stats/magicalDamageTaken,3/stats/neutralMinionsKilledEnemyJungle,3/stats/neutralMinionsKilledTeamJungle,3/stats/pentaKills,3/stats/physicalDamageDealt,3/stats/physicalDamageDealtToChampions,3/stats/physicalDamageTaken,3/stats/quadraKills,3/stats/totalDamageDealt,3/stats/totalDamageDealtToChampions,3/stats/totalHeal,3/stats/totalMinionsKilled,3/stats/totalTimeCrowdControlDealt,3/stats/tripleKills,3/stats/trueDamageDealt,3/stats/trueDamageDealtToChampions,3/stats/trueDamageTaken,3/stats/turretKills,3/stats/visionWardsBoughtInGame,3/stats/wardsKilled,3/stats/wardsPlaced,4/stats/assists,4/stats/champLevel,4/stats/deaths,4/stats/doubleKills,4/stats/firstBloodAssist,4/stats/firstInhibitorAssist,4/stats/firstTowerAssist,4/stats/goldEarned,4/stats/inhibitorKills,4/stats/item1,4/stats/item2,4/stats/item3,4/stats/item4,4/stats/item5,4/stats/item6,4/stats/kills,4/stats/largestKillingSpree,4/stats/longestTimeSpentLiving,4/stats/magicDamageDealt,4/stats/magicDamageDealtToChampions,4/stats/magicalDamageTaken,4/stats/neutralMinionsKilledEnemyJungle,4/stats/neutralMinionsKilledTeamJungle,4/stats/pentaKills,4/stats/physicalDamageDealt,4/stats/physicalDamageDealtToChampions,4/stats/physicalDamageTaken,4/stats/quadraKills,4/stats/totalDamageDealt,4/stats/totalDamageDealtToChampions,4/stats/totalHeal,4/stats/totalMinionsKilled,4/stats/totalTimeCrowdControlDealt,4/stats/tripleKills,4/stats/trueDamageDealt,4/stats/trueDamageDealtToChampions,4/stats/trueDamageTaken,4/stats/turretKills,4/stats/visionWardsBoughtInGame,4/stats/wardsKilled,4/stats/wardsPlaced,baronKills,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,towerKills
0,ahq,1,0,1,5,14,2,0,False,True,False,10475,0,3067,3068,3009,3211,3025,3340,0,0,644,95870,6280,4440,2,11,0,30417,1867,6346,0,126288,8147,1057,191,752,0,0,0,304,0,5,5,18,2,14,1,0,False,True,False,10463,0,2031,3065,3025,1410,2043,3364,2,0,1249,106765,7586,8038,18,88,0,27716,764,20731,0,150093,8851,13469,37,933,0,15612,500,306,0,6,18,23,1,16,1,0,False,False,False,12235,1,3071,3142,3009,1036,1036,3363,2,2,1915,9210,878,2988,1,18,0,172324,10480,7939,0,182404,12228,1557,274,100,0,870,870,452,2,7,9,24,1,14,0,1,False,True,False,12248,0,2015,3009,1051,3078,1055,3363,2,2,0,113828,7775,2251,0,4,0,53696,2122,3798,0,169933,10122,911,283,207,0,2408,224,0,2,3,9,18,6,12,1,0,False,False,False,8861,0,2303,0,0,3024,1308,3364,1,0,1664,15111,2099,7408,0,1,0,8727,265,7167,0,31448,2364,8574,63,113,0,7610,0,318,0,8,14,44,0,3,False,False,True,True,False,False,1,6
1,TPA,0,1,1,1,15,0,0,False,False,False,11410,0,3143,2033,3068,3025,3009,3340,2,2,0,40188,1894,5356,7,10,0,99888,5991,6483,0,140076,7886,469,193,3789,0,0,0,940,1,2,9,16,4,14,3,0,False,False,False,11074,0,2032,1410,3027,3158,0,3364,0,0,1207,127698,7692,5925,27,87,0,18688,409,14684,0,170118,8137,10881,35,506,0,23730,36,332,0,5,18,26,3,16,1,0,False,False,False,11375,0,2043,3027,3165,3089,0,3363,0,0,1913,167069,13486,3315,1,4,0,13854,367,6284,0,180924,13854,818,280,592,0,0,0,210,2,6,6,16,1,14,1,0,False,False,True,11435,1,3140,3009,1055,3085,3035,3363,3,3,1912,2196,595,2457,0,30,0,116096,6518,6767,0,119657,7782,2735,208,429,0,1364,668,112,1,2,8,17,4,10,2,0,False,False,True,7693,0,3190,2043,2010,1308,0,3364,0,0,1195,9506,1457,7563,0,1,0,7551,770,7170,0,20948,2904,1490,32,46,0,3890,676,0,0,8,14,47,0,0,False,True,False,False,True,True,1,5
0,TPA,0,0,2,1,14,4,0,False,False,True,10833,0,3025,2033,3068,3065,1028,3340,1,0,1481,39500,4345,11065,0,0,0,90417,9169,10803,0,129918,13514,1790,220,3111,0,0,0,25,1,1,6,15,0,14,3,0,False,False,False,11061,0,3140,2031,3035,3156,3009,3364,2,2,1724,4690,840,4604,13,80,0,129824,4523,11786,0,148362,5444,4973,74,295,0,13847,80,0,1,4,24,32,2,15,4,0,False,False,False,11997,0,3092,1052,3001,1026,1333,3363,1,0,1455,153191,9161,7219,3,8,0,13617,348,5481,0,166809,9509,825,264,310,0,0,0,93,0,4,8,16,1,14,2,0,False,False,True,12042,0,3144,3158,3036,3025,0,3363,0,0,1731,27222,5952,6867,3,24,0,140130,17006,4715,0,170488,24654,2321,265,1393,0,3135,1695,0,1,3,11,19,3,11,5,0,False,False,True,7822,0,3190,0,2010,1308,0,3364,0,0,661,13755,2767,9788,2,1,0,6609,440,6511,0,25625,3207,1332,45,47,0,5260,0,25,0,11,9,48,0,0,False,False,False,False,False,True,0,3
1,ahq,1,1,2,9,16,2,0,False,True,False,11995,0,1054,3009,3068,3075,3024,3363,2,2,843,77658,8226,5944,0,4,0,35683,1696,12525,0,113342,9922,1998,178,180,0,0,0,451,1,2,3,18,10,17,0,0,False,True,False,13310,0,1031,3009,3025,1410,1011,3364,4,4,2041,115394,7139,4125,29,84,0,36433,1642,31990,0,174776,8782,20754,30,951,0,22948,0,756,0,5,11,24,9,17,1,0,False,True,False,13953,0,2031,0,3158,3089,3285,3340,2,2,1822,196421,20355,5879,2,22,0,20521,216,4092,0,217017,20647,846,292,10,0,75,75,256,2,3,4,17,4,17,0,2,False,False,False,17165,1,3053,3140,3085,3009,3072,3363,10,10,0,2768,757,4201,4,22,0,218161,13395,9470,0,224573,14221,3709,300,769,0,3644,68,112,5,3,9,20,11,13,1,0,False,True,False,9011,0,2303,0,3024,1029,3009,3364,0,0,1453,14547,3044,4008,0,0,0,8311,447,7942,0,24021,3492,3219,40,76,0,1162,0,200,0,9,19,43,1,4,True,True,True,True,True,False,1,9
0,M17,1,0,1,5,18,2,1,False,True,False,18001,0,3078,3742,3031,3009,3508,3363,4,4,1068,11903,4279,3356,5,13,0,308721,16344,15618,0,329776,21492,5895,323,827,0,9151,868,1122,1,2,2,18,6,16,2,0,False,True,False,13254,0,1410,3143,3742,3110,3009,3364,4,3,1423,111011,11407,8718,20,68,0,35492,963,13332,0,170978,12403,9052,29,1009,0,24475,32,250,3,4,18,33,13,17,3,1,False,True,True,15831,0,3116,3135,3089,3027,3020,3340,4,2,1283,216297,21611,5407,5,34,0,10281,343,14137,0,226629,22004,3992,274,164,0,50,50,120,0,7,4,20,7,16,1,2,False,False,False,15402,0,3036,3042,3158,3025,0,3363,6,6,1456,31526,3787,5188,3,25,0,150347,18992,6535,0,183769,23723,2445,246,716,1,1894,942,0,4,3,11,14,14,14,2,0,False,True,False,10726,0,2049,3110,1029,2053,3009,3364,0,0,736,1950,1762,9938,0,0,0,24065,1963,11965,0,34038,4112,11953,53,758,0,8023,386,0,1,4,13,38,1,2,True,True,False,True,True,True,2,9
1,XG,0,1,1,6,17,3,0,False,False,False,11479,0,3140,3111,3022,1011,3082,3340,0,0,835,18687,2059,8405,1,13,0,145315,9964,15965,0,164003,12023,2293,238,1392,0,0,0,290,0,2,7,18,6,15,5,0,False,False,False,10756,0,1410,3067,1306,3024,3211,3364,1,0,1113,105616,17512,11555,12,67,0,22424,487,21078,0,144355,17999,11816,41,724,0,16314,0,539,0,5,15,27,2,17,5,0,False,False,False,13543,0,3142,3053,1037,3133,3009,3340,3,2,903,1252,1107,7354,3,33,0,210562,13988,10105,0,212954,16235,1345,281,233,0,1140,1140,524,0,4,3,19,3,16,2,1,False,False,False,14876,0,3158,1055,3508,3094,3072,3363,5,4,1575,11693,3118,5458,1,33,0,198430,14067,11874,0,212775,17538,2844,293,295,0,2652,352,120,2,4,10,22,8,12,3,0,False,False,False,9096,0,3190,2043,2303,3009,3801,3364,1,0,1577,15343,8112,10165,0,0,0,6590,445,11287,0,27041,8557,2936,51,407,0,5106,0,805,0,15,16,50,0,2,False,False,True,False,False,False,0,3
0,XG,0,0,2,2,16,2,0,False,False,False,12349,0,3074,3071,1308,3053,0,3340,3,3,1737,1539,1254,7179,0,18,0,140950,7709,15197,0,145325,11799,6606,213,75,0,2835,2835,638,0,5,4,20,1,13,3,0,False,False,False,10116,0,1410,2043,3116,3158,3067,3364,1,0,1233,82943,12274,8969,13,53,0,23605,464,17974,0,123005,12914,7613,63,668,0,16457,176,232,1,7,22,25,4,17,2,0,False,False,False,14141,0,3078,3031,3046,3133,3009,3340,0,0,1201,11608,6454,6498,1,17,0,262341,13498,7423,0,280435,21138,2231,294,703,0,6484,1186,322,0,4,7,19,2,15,2,0,False,False,True,12308,0,3153,3140,3158,3025,1055,3363,2,2,1086,31773,7527,2320,2,12,0,124213,11574,5687,0,156867,19661,1693,258,638,0,880,560,58,1,4,6,20,4,11,3,0,False,False,True,8350,0,3157,1308,2049,3098,0,3364,0,0,923,15647,8011,4386,0,0,0,4510,215,5859,0,20157,8227,1078,17,92,0,0,0,282,0,10,16,48,0,1,False,False,False,False,True,True,0,4
1,M17,1,1,2,4,15,3,0,False,True,False,12615,0,3068,3009,3025,3211,3052,3340,2,0,788,39036,5503,7074,0,4,0,84252,11307,11618,0,123289,16811,1627,193,2261,0,0,0,2611,1,2,4,14,6,16,1,0,False,False,False,13362,0,1410,3067,3009,3742,3025,3364,4,2,1283,115989,8347,8448,40,64,0,36157,1023,17868,0,172611,9586,12369,40,1009,0,20465,216,799,2,4,13,26,3,18,0,0,False,False,False,14865,0,1026,1056,3089,3116,1308,3363,1,0,2088,200653,12507,7436,4,17,0,21234,386,10439,0,221888,12894,10245,323,5477,0,0,0,467,1,4,9,23,3,17,0,1,False,False,False,15596,1,3094,1037,3508,3158,1038,3363,5,5,0,12921,1305,5373,5,18,0,221914,15795,6298,0,241156,17877,2930,308,299,0,6320,776,242,5,3,8,14,10,13,2,0,False,True,False,10096,0,2049,0,3110,3067,3009,3364,0,0,1261,1714,1615,8933,0,0,0,14580,887,13916,0,24993,3042,10605,50,583,0,8698,540,635,0,9,14,47,2,3,True,True,True,True,False,False,1,9
0,HKE,0,0,1,4,16,4,0,False,False,False,12169,0,2033,1308,3110,3065,1031,3363,2,2,906,111158,11553,5833,0,13,0,31200,1214,13092,0,143595,12767,3382,190,1337,0,1237,0,3494,1,4,5,22,7,15,6,0,False,False,False,11748,0,1409,1011,3742,3082,3009,3364,2,2,600,38877,4951,11773,16,70,0,82441,6052,29887,0,142096,11162,17457,48,401,0,20778,158,4007,1,5,32,33,6,17,4,0,False,False,False,13912,0,3135,0,3001,3089,3158,3363,2,0,1215,117622,19488,5114,0,28,0,25970,886,9425,0,206895,26231,3179,287,63,0,63302,5856,828,1,6,6,22,5,16,4,1,False,False,False,14589,0,3153,3031,3020,3078,1055,3363,5,3,1245,145291,18915,8291,2,11,0,56564,5055,7744,0,204379,24114,3795,284,256,0,2523,144,432,0,3,7,22,6,12,6,0,False,False,False,9487,0,3401,2045,2043,1306,0,3364,2,0,654,18445,4859,9042,1,0,0,8366,685,9735,0,29928,6186,1138,43,128,0,3117,642,758,0,13,14,66,0,3,False,False,True,False,True,False,0,4
1,TPA,1,1,1,5,18,1,0,False,True,False,16868,0,3074,3140,3009,3071,1038,3340,10,5,1864,1385,1268,11667,10,16,0,212483,18487,14173,0,221777,27665,11314,256,78,0,7909,7909,1396,4,4,9,20,13,17,2,0,False,True,False,14610,0,3157,2043,3158,3027,1052,3364,4,3,1850,155423,14070,9968,24,84,0,22071,1200,13074,0,190109,15271,13992,53,465,0,12614,0,945,0,10,21,35,10,17,5,0,False,False,False,14845,1,3157,3001,1333,3089,1026,3340,3,0,1242,211589,18103,13239,2,14,0,16172,567,5701,0,227762,18670,2403,309,375,0,0,0,929,1,5,7,21,14,17,3,0,False,True,True,16764,0,3140,3085,3072,3155,3009,3363,5,2,1230,4966,2404,6198,9,33,0,203177,18893,5383,0,212196,21698,4098,292,1055,0,4052,400,970,2,6,28,22,19,14,2,0,False,True,True,11910,0,3190,2043,3028,3009,3110,3364,2,0,1246,4357,2552,19998,0,0,0,20261,3793,8416,0,36521,7558,11900,59,546,0,11902,1212,2558,0,13,11,53,1,1,True,True,False,True,False,True,1,8
